Date,Open,High,Low,Close,Adj Close,Volume
2021-09-23,31400.000000,31550.000000,31375.000000,31400.000000,30041.250000,346800
2021-09-24,31400.000000,31425.000000,31025.000000,31075.000000,29730.312500,589200
2021-09-27,31075.000000,31450.000000,31025.000000,31025.000000,29682.476563,315500
2021-09-28,31125.000000,31600.000000,31075.000000,31550.000000,30184.759766,443500
2021-09-29,31500.000000,31775.000000,31100.000000,31675.000000,30304.351563,588900
2021-09-30,31700.000000,32550.000000,31700.000000,32550.000000,31141.486328,750300
2021-10-01,32500.000000,32500.000000,32000.000000,32050.000000,30663.123047,479500
2021-10-04,32050.000000,32750.000000,31925.000000,32475.000000,31069.732422,808900
2021-10-05,32650.000000,33425.000000,32550.000000,32625.000000,31213.240234,1006200
2021-10-06,33000.000000,33275.000000,32700.000000,33050.000000,31619.851563,841400
2021-10-07,33300.000000,36050.000000,33300.000000,34750.000000,33246.285156,2765700
2021-10-08,35000.000000,35150.000000,34525.000000,34650.000000,33150.617188,942400
2021-10-11,34650.000000,34675.000000,33600.000000,33850.000000,32385.234375,821900
2021-10-12,33850.000000,34300.000000,33275.000000,33275.000000,31835.115234,1424600
2021-10-13,33500.000000,34700.000000,33500.000000,34525.000000,33031.023438,1070100
2021-10-14,35050.000000,35175.000000,34525.000000,34600.000000,33102.781250,1287100
2021-10-15,34650.000000,34800.000000,34125.000000,34400.000000,32911.433594,891500
2021-10-18,34500.000000,35425.000000,34500.000000,35150.000000,33628.976563,1481400
2021-10-19,35250.000000,35450.000000,34825.000000,35000.000000,33485.468750,785500
2021-10-21,35100.000000,35350.000000,34800.000000,35200.000000,33676.812500,1086100
2021-10-22,35200.000000,35200.000000,34475.000000,34875.000000,33365.878906,806700
2021-10-25,34925.000000,35000.000000,33700.000000,33850.000000,32385.234375,1351600
2021-10-26,34025.000000,34225.000000,34025.000000,34150.000000,32672.250000,664200
2021-10-27,34500.000000,34500.000000,33575.000000,34500.000000,33007.109375,696700
2021-10-28,34400.000000,34400.000000,33500.000000,33525.000000,32074.296875,597200
2021-10-29,33525.000000,34000.000000,33500.000000,33500.000000,32050.378906,1056400
2021-11-01,33525.000000,34175.000000,33525.000000,33725.000000,32265.642578,395100
2021-11-02,33750.000000,34050.000000,33525.000000,33575.000000,32122.132813,386000
2021-11-03,33350.000000,33525.000000,32725.000000,32950.000000,31524.177734,1474100
2021-11-04,32925.000000,33175.000000,32925.000000,33050.000000,31619.851563,450500
2021-11-05,33050.000000,33300.000000,32775.000000,33025.000000,31595.933594,495500
2021-11-08,33025.000000,33050.000000,32850.000000,33050.000000,31619.851563,433100
2021-11-09,33050.000000,33125.000000,32850.000000,32850.000000,31428.505859,425700
2021-11-10,32850.000000,32950.000000,32750.000000,32825.000000,31404.587891,1413500
2021-11-11,32825.000000,33800.000000,32825.000000,33325.000000,31882.951172,1791500
2021-11-12,33350.000000,33800.000000,33350.000000,33650.000000,32193.888672,679900
2021-11-15,33650.000000,33750.000000,33325.000000,33400.000000,31954.707031,318600
2021-11-16,33750.000000,34350.000000,33525.000000,34300.000000,32815.761719,1295100
2021-11-17,34300.000000,34300.000000,33500.000000,33650.000000,32193.888672,710800
2021-11-18,33800.000000,33800.000000,33200.000000,33400.000000,31954.707031,488100
2021-11-19,33400.000000,33625.000000,33150.000000,33275.000000,31835.115234,610200
2021-11-22,33325.000000,33450.000000,33225.000000,33375.000000,31930.787109,274700
2021-11-23,33375.000000,34100.000000,33325.000000,33475.000000,32026.460938,662200
2021-11-24,33500.000000,33800.000000,33500.000000,33750.000000,32289.560547,244800
2021-11-25,33850.000000,33900.000000,33450.000000,33450.000000,32002.542969,358800
2021-11-26,33450.000000,33450.000000,32800.000000,33175.000000,31739.441406,922900
2021-11-29,33175.000000,33175.000000,32775.000000,32775.000000,31356.750000,561600
2021-11-30,32825.000000,32825.000000,31400.000000,31400.000000,30041.250000,2545400
2021-12-01,31700.000000,31925.000000,31500.000000,31525.000000,30160.841797,919800
2021-12-02,31675.000000,32450.000000,31525.000000,32375.000000,30974.058594,489800
2021-12-03,32300.000000,32300.000000,31825.000000,31950.000000,30567.451172,327600
2021-12-06,31950.000000,32225.000000,31825.000000,32125.000000,30734.878906,464400
2021-12-07,32200.000000,32200.000000,31900.000000,31900.000000,30519.615234,289500
2021-12-08,32000.000000,32200.000000,31500.000000,31500.000000,30136.923828,373500
2021-12-09,31800.000000,32150.000000,31775.000000,32075.000000,30687.042969,316600
2021-12-10,32050.000000,32075.000000,31775.000000,32050.000000,30663.123047,470400
2021-12-13,32050.000000,32275.000000,32050.000000,32250.000000,30854.468750,498300
2021-12-14,32000.000000,32000.000000,31050.000000,31400.000000,30041.250000,1580200
2021-12-15,31400.000000,31675.000000,31100.000000,31575.000000,30208.677734,468300
2021-12-16,31575.000000,31575.000000,31125.000000,31125.000000,29778.150391,665100
2021-12-17,31175.000000,31175.000000,30875.000000,31000.000000,29658.558594,1082400
2021-12-20,31000.000000,31175.000000,31000.000000,31100.000000,29754.232422,282900
2021-12-21,31100.000000,31150.000000,31025.000000,31075.000000,29730.312500,229400
2021-12-22,31075.000000,31200.000000,30850.000000,30850.000000,29515.048828,460800
2021-12-23,30825.000000,30900.000000,30500.000000,30600.000000,29275.867188,458200
2021-12-24,30625.000000,30625.000000,30500.000000,30525.000000,29204.115234,294700
2021-12-27,30525.000000,30800.000000,30475.000000,30675.000000,29347.621094,390700
2021-12-28,30675.000000,30850.000000,30650.000000,30650.000000,29323.703125,406900
2021-12-29,30800.000000,30825.000000,30650.000000,30650.000000,29323.703125,131500
2021-12-30,30675.000000,30700.000000,30550.000000,30600.000000,29275.867188,378200
2022-01-03,30600.000000,30800.000000,30600.000000,30675.000000,29347.621094,218100
2022-01-04,30675.000000,31450.000000,30675.000000,31150.000000,29802.068359,401600
2022-01-05,31175.000000,31750.000000,31150.000000,31350.000000,29993.414063,364400
2022-01-06,31350.000000,31350.000000,30600.000000,30900.000000,29562.886719,547600
2022-01-07,30800.000000,31275.000000,30800.000000,31125.000000,29778.150391,431500
2022-01-10,31125.000000,31225.000000,30950.000000,30950.000000,29610.722656,319000
2022-01-11,30950.000000,31150.000000,30875.000000,31100.000000,29754.232422,362900
2022-01-12,31150.000000,32250.000000,31150.000000,32175.000000,30782.714844,1100100
2022-01-13,32250.000000,32275.000000,31875.000000,32250.000000,30854.468750,404100
2022-01-14,32250.000000,32250.000000,31600.000000,31975.000000,30591.369141,624500
2022-01-17,32200.000000,32200.000000,31600.000000,32050.000000,30663.123047,398300
2022-01-18,31950.000000,32000.000000,30700.000000,30825.000000,29491.130859,1203600
2022-01-19,30725.000000,31200.000000,30725.000000,31125.000000,29778.150391,177000
2022-01-20,31000.000000,31325.000000,30900.000000,31300.000000,29945.578125,307600
2022-01-21,31200.000000,31800.000000,31050.000000,31750.000000,30376.105469,357900
2022-01-24,31750.000000,31900.000000,31500.000000,31750.000000,30376.105469,281800
2022-01-25,31750.000000,31750.000000,31300.000000,31325.000000,29969.496094,380500
2022-01-26,31375.000000,31400.000000,30500.000000,30525.000000,29204.115234,2066900
2022-01-27,30650.000000,30675.000000,30525.000000,30550.000000,29228.033203,465700
2022-01-28,30575.000000,30650.000000,30500.000000,30500.000000,29180.195313,644400
2022-01-31,30550.000000,30675.000000,30500.000000,30625.000000,29299.785156,1298500
2022-02-02,30625.000000,30675.000000,30500.000000,30600.000000,29275.867188,617400
2022-02-03,30600.000000,30600.000000,30500.000000,30500.000000,29180.195313,323800
2022-02-04,30550.000000,30650.000000,30500.000000,30650.000000,29323.703125,368400
2022-02-07,30650.000000,31175.000000,30650.000000,31000.000000,29658.558594,427200
2022-02-08,31000.000000,31275.000000,30700.000000,31000.000000,29658.558594,871500
2022-02-09,31000.000000,31000.000000,30600.000000,30600.000000,29275.867188,769400
2022-02-10,30625.000000,30950.000000,30500.000000,30500.000000,29180.195313,859400
2022-02-11,30525.000000,30775.000000,30400.000000,30500.000000,29180.195313,1125000
2022-02-14,30500.000000,30900.000000,30100.000000,30900.000000,29562.886719,1116100
2022-02-15,30800.000000,30800.000000,30450.000000,30675.000000,29347.621094,346500
2022-02-16,31000.000000,31000.000000,30575.000000,31000.000000,29658.558594,919000
2022-02-17,31000.000000,31650.000000,30925.000000,31550.000000,30184.759766,1225600
2022-02-18,31400.000000,32100.000000,31350.000000,31800.000000,30423.941406,1089400
2022-02-21,31800.000000,31975.000000,31425.000000,31500.000000,30136.923828,331900
2022-02-22,31500.000000,31525.000000,30850.000000,31150.000000,29802.068359,582600
2022-02-23,31150.000000,31200.000000,30750.000000,31125.000000,29778.150391,954900
2022-02-24,31100.000000,32175.000000,30900.000000,32050.000000,30663.123047,3052700
2022-02-25,32050.000000,32600.000000,31400.000000,31400.000000,30041.250000,3695700
2022-03-01,31700.000000,32200.000000,31100.000000,31250.000000,29897.740234,1034500
2022-03-02,31400.000000,32175.000000,31375.000000,32000.000000,30615.287109,1283800
2022-03-04,31900.000000,31900.000000,31200.000000,31350.000000,29993.414063,858600
2022-03-07,31300.000000,31300.000000,30550.000000,30650.000000,29323.703125,986400
2022-03-08,30650.000000,30800.000000,30400.000000,30450.000000,29132.359375,1161100
2022-03-09,30525.000000,30775.000000,30300.000000,30375.000000,29060.605469,1189100
2022-03-10,30500.000000,31350.000000,30300.000000,31250.000000,29897.740234,1093400
2022-03-11,31100.000000,31250.000000,30750.000000,30850.000000,29515.048828,759900
2022-03-14,31000.000000,31050.000000,30525.000000,30550.000000,29228.033203,876300
2022-03-15,30650.000000,30775.000000,30350.000000,30350.000000,29036.687500,859700
2022-03-16,30450.000000,30625.000000,30350.000000,30450.000000,29132.359375,680400
2022-03-17,30500.000000,30825.000000,30500.000000,30625.000000,29299.785156,687500
2022-03-18,30700.000000,33575.000000,30700.000000,33575.000000,32122.132813,1771900
2022-03-21,32850.000000,32850.000000,31225.000000,31225.000000,29873.822266,1817500
2022-03-22,31225.000000,31325.000000,31000.000000,31000.000000,29658.558594,425700
2022-03-23,31000.000000,31325.000000,31000.000000,31000.000000,29658.558594,387900
2022-03-24,31050.000000,31300.000000,31050.000000,31200.000000,29849.904297,461800
2022-03-25,31200.000000,31300.000000,30850.000000,30850.000000,29515.048828,661600
2022-03-28,30850.000000,30925.000000,30600.000000,30675.000000,29347.621094,695000
2022-03-29,30825.000000,30950.000000,30825.000000,30825.000000,29491.130859,323800
2022-03-30,30900.000000,31425.000000,30875.000000,31300.000000,29945.578125,867500
2022-03-31,31300.000000,31900.000000,31300.000000,31600.000000,30232.595703,1026700
2022-04-01,31575.000000,32000.000000,31500.000000,31900.000000,30519.615234,1246700
2022-04-04,31900.000000,31975.000000,31700.000000,31975.000000,30591.369141,556600
2022-04-05,31975.000000,32225.000000,31975.000000,32175.000000,30782.714844,667700
2022-04-06,32125.000000,32150.000000,31100.000000,31300.000000,29945.578125,1142900
2022-04-07,31225.000000,31275.000000,30925.000000,30925.000000,29586.804688,826400
2022-04-08,30925.000000,31125.000000,30800.000000,30800.000000,29467.212891,947900
2022-04-11,30800.000000,30975.000000,30675.000000,30750.000000,29419.376953,709500
2022-04-12,30750.000000,30800.000000,30425.000000,30425.000000,29108.441406,1326300
2022-04-13,30500.000000,31000.000000,30425.000000,31000.000000,29658.558594,961600
2022-04-14,30925.000000,30925.000000,30525.000000,30600.000000,29275.867188,760700
2022-04-18,30675.000000,30900.000000,30625.000000,30800.000000,29467.212891,431600
2022-04-19,30800.000000,31350.000000,30600.000000,30600.000000,29275.867188,451700
2022-04-20,30625.000000,31275.000000,30625.000000,31225.000000,29873.822266,971300
2022-04-21,31325.000000,31325.000000,30700.000000,30700.000000,29371.539063,555200
2022-04-22,30750.000000,30900.000000,30525.000000,30600.000000,29275.867188,834000
2022-04-25,30500.000000,30800.000000,30400.000000,30600.000000,29275.867188,798300
